LICENSE,DBA,LOCATION.ADDRESS,COUNTY,PHONE,category,sells_liquor,Latitude,Longitude
CL01278,SEVEN SUMMITS CLUB,9385 S SNOWBIRD CENTER DR,SALT LAKE,801-933-2490,Bar / Club,TRUE,40.55808643200004,-111.82957591799999
RB00048,CAFE SOLEIL,205 ZION PARK BLVD,WASHINGTON,435-632-4010,Restaurant,FALSE,37.19788267700005,-112.99154392999998
AL00005,HIGH WEST DISTILLERY AND SALOON - CONCOURSE E1,SLC INTL AIRPORT TERMINAL 2 / E,SALT LAKE,801-575-2611,Liquor Store / Manufacturer,TRUE,40.776818354000056,-111.97948729799998
RE01609,HIDEAWAY @ MINERS CLUB,4070 WILLOW DRAW DR,SUMMIT,435-645-4400,Restaurant,TRUE,40.690277750000064,-111.55174227299995
RE01649,WINGER'S (RIVERTON),3816 W 13400 S,SALT LAKE,801-254-8001,Restaurant,TRUE,40.507928572000026,-111.98158965999994
RL00862,MANO THAI DINER,41 W 3300 S,SALT LAKE,801-485-1209,Restaurant,TRUE,40.69975353400008,-111.89234082499996
BC00044,DIAMOND CONCESSIONS OF UTAH,3200 S DECKER LAKE DR,SALT LAKE,801-988-2009,Other,FALSE,40.700663837000036,-111.94844888299997
RE01725,BOSTON'S THE GOURMET PIZZA,694 W ANTELOPE DR,DAVIS,801-779-9088,Restaurant,TRUE,41.08921127000008,-111.97860617799995
RL00339,SHANGHAI CAFE,145 E 1300 SOUTH,SALT LAKE,801-322-1841,Restaurant,TRUE,40.741648197000075,-111.88716131799998
RL00505,PIZANOS PIZZERIA,259 S HWY 143,IRON,435-590-5884,Restaurant,TRUE,37.663739228000054,-113.09704878299999
RE00561,RED BUTTE CAFE,1414 FOOTHILL VILLAGE,SALT LAKE,801-581-9499,Restaurant,TRUE,40.75116875800006,-111.83074435399999
RE02141,BUFFALO WILD WINGS (SANDY),11282 S STATE ST,SALT LAKE,952-593-9943,Restaurant,TRUE,40.54676406600004,-111.89109369299996
RE02105,LA FOUNTAIN (LEHI),101 N 1200 E,UTAH,801-766-2619,Restaurant,TRUE,40.38908683400007,-111.82686010599997
RL00613,NUCH'S PIZZERIA,2819 S 2300 E,SALT LAKE,801-484-0448,Restaurant,TRUE,40.70998003600005,-111.82442418199997
RE01924,DON PEDRO'S (WASHINGTON CITY),1004 W RED CLIFFS DR,WASHINGTON,435-251-8094,Restaurant,TRUE,37.12648729600005,-113.52633635699999
RB00055,CHIPOTLE MEXICAN GRILL (COTTONWOOD HEIGHTS) #954,6924 S PARK CENTRE DR,SALT LAKE,303-222-2524,Restaurant,FALSE,40.624737684000024,-111.85123547499995
BE02552,GIANT STEPS LODGE/NAVAJO LODGE,329 S HWY 145,IRON,435-677-2035,Banquet / Event,FALSE,37.70654622300003,-112.84878820399996
RE01704,CANCUN CAFE #2,1891 E FT UNION BLVD,SALT LAKE,801-942-1333,Restaurant,TRUE,40.62460747600005,-111.83792777299999
CL00968,TWILITE LOUNGE,347 E 200 S,SALT LAKE,801-532-9400,Bar / Club,TRUE,40.76504758300007,-111.88082031099998
RL00812,NOODLES & CO. (LOGAN),1430 N MAIN ST,CACHE,435-753-2629,Restaurant,TRUE,41.75817898500003,-111.83433199299998
RE01410,MIGUEL'S BAJA GRILL,51 N MAIN,GRAND,435-259-6546,Restaurant,TRUE,38.57406504000005,-109.55080693599996
RE02196,BILLY BLANCO'S,8208 GORGOZA PINES RD,SUMMIT,435-647-2908,Restaurant,TRUE,40.750255742000036,-111.57171379999994
CL00977,POPLAR STREET PUB,242 S 200 W,SALT LAKE,801-532-2715,Bar / Club,TRUE,40.76382040300007,-111.89687735799998
RL00629,NINJA JAPANESE STEAKHOUSE,1180 S SAGE DR,IRON,435-867-5577,Restaurant,TRUE,37.65615808600006,-113.08296676899994
RL00524,TOKAI SUSHI RESTAURANT,1301 E MILLER AVE,SALT LAKE,801-466-3311,Restaurant,TRUE,40.70297761900008,-111.85410004799996
BE00988,SUNDANCE RESORT / CREEKSIDE CAFE / GROCERY DELI,8841 N ALPINE LOOP RD,UTAH,801-223-4107,Banquet / Event,FALSE,40.39152257000006,-111.57748484999996
RE01806,5TH AVENUE RESTAURANT,C/O 150 W 500 SOUTH,SALT LAKE,801-401-2000,Restaurant,TRUE,40.75850838400004,-111.89506020999994
CL00859,ALL-STAR CATERING-EXECUTIVES CLUB @ ENERGY SOLUTIONS ARENA,301 W S TEMPLE,SALT LAKE,801-325-2000,Bar / Club,TRUE,40.769232671000054,-111.89993090499996
RL00099,LA FERROVIA RISTORANTE,232 25TH ST,WEBER,801-394-8628,Restaurant,TRUE,41.220748539000056,-111.97499976099999
RE01819,RIVER GRILL,MILE 17 HWY 128,GRAND,435-259-4642,Restaurant,TRUE,38.602899441000034,-109.57422435299998
CL01257,CLUB RIO,2 S 100 WEST,GRAND,435-259-2654,Bar / Club,TRUE,38.57332115000003,-109.55273515199997
RB00259,WINGER'S ROADHOUSE GRILL (VERNAL),1797 W 1000 S,UINTAH,435-781-1923,Restaurant,FALSE,40.440256213000055,-109.56233365999998
RE02209,THE FARM @ GRAND SUMMIT HOTEL  /RED TAIL GRILL/THE CABIN,4000 CANYONS RESORT DR,SUMMIT,435-615-8060,Restaurant,TRUE,40.684057186000075,-111.55369225999999
RL00929,SUEHIRO,6933 S 1300 EAST,SALT LAKE,801-255-1089,Restaurant,TRUE,40.62569358500008,-111.85484674599996
RE01309,ROCKING V CAFE,97 W. CENTER,KANE,435-644-8001,Restaurant,TRUE,37.048103326000046,-112.53049062599996
RL00478,WATER MOON,129 E 13800 S,SALT LAKE,801-619-3889,Restaurant,TRUE,40.50071875200007,-111.88783283699996
RE01259,PORCUPINE PUB & GRILLE,3698 E 7000 S,SALT LAKE,801-942-5555,Restaurant,TRUE,40.61928744100004,-111.79084762999997
CL00934,NEW CASSIDY'S CLUB,1350 E MAIN,UINTAH,435-789-8700,Bar / Club,TRUE,40.45599292600008,-109.50404087499999
RE00797,OLIVE GARDEN (SUGARHOUSE) #1306,2272 S 1300 E,SALT LAKE,801-455-4238,Restaurant,TRUE,40.721430260000034,-111.85368637899995
TV00194,SHOOTING STAR SALOON,7350 E 200 S,WEBER,801-205-9808,Bar / Club,TRUE,41.26069991400004,-111.77125244699994
CL00808,CEDAR BREAKS BAR & GRILL,223 HUNTER RIDGE RD,IRON,435-677-3000,Bar / Club,TRUE,37.705469840000035,-112.85025457599994
RE02018,BRIO TUSCAN GRILLE,6173 S STATE ST,SALT LAKE,801-262-6500,Restaurant,TRUE,40.63643990500003,-111.88920500599994
RE01347,CHILI'S SOUTHWEST GRILL (LOGAN),1427 N MAIN BLDG C,CACHE,435-752-2909,Restaurant,TRUE,41.758119846000056,-111.83440533499999
RB00017,WINGER'S (CLEARFIELD),743 N MAIN ST,DAVIS,801-419-9226,Restaurant,FALSE,41.12462573500005,-112.02607502799998
RL00369,PEACE TREE JUICE CAFE,516 N MAIN,SAN JUAN,435-587-5063,Restaurant,TRUE,37.87871069200003,-109.34287582699994
CL00694,TAP ROOM,2021 WINDSOR,SALT LAKE,801-484-6692,Bar / Club,TRUE,40.73719624900008,-111.86156819399997
RE01844,ROMANO'S MACARONI GRILL (MURRAY),102 E WINCHE,SALT LAKE,801-293-3331,Restaurant,TRUE,40.661658328000044,-111.88116851399997
RE02176,SPICE BISTRO,6121 S HIGHLAND DR,SALT LAKE,801-930-9855,Restaurant,TRUE,40.64001233100004,-111.83493414499998
RE02281,HARLEY & BUCK'S GRILL,3900 N WOLF CREEK DR,WEBER,801-745-2060,Restaurant,TRUE,41.32979983700005,-111.82407822099998
TV00220,LAS ROCAS,3050 S SCOTT LANE,WEBER,801-725-5982,Bar / Club,TRUE,41.210259317000066,-112.02863386999996
CL00291,UNCLE BART'S,837 S MAIN,SALT LAKE,801-532-9068,Bar / Club,TRUE,40.75113608600003,-111.89100876999998
RE00161,"GLITRETIND & SPA CAFE @ STEIN ERIKSEN, PARK CITY",7700,SUMMIT,435-645-6455,Restaurant,TRUE,40.66082843200007,-111.49822579899995
RL00158,ARCHIBALD'S,1095 W 7800 S,SALT LAKE,801-566-6940,Restaurant,TRUE,40.60889380900005,-111.92421524399998
BC00087,SHERATON CITY CENTRE,C/O 150 W 500 SOUTH,SALT LAKE,801-401-2000,Other,FALSE,40.75850838400004,-111.89506020999994
CL00073,FIFTH,980 N 500 W,DAVIS,801-295-9983,Bar / Club,TRUE,40.89865926900006,-111.89212419599994
CL00876,REPUBLICAN,917 S STATE ST,SALT LAKE,801-455-9543,Bar / Club,TRUE,40.749270541000044,-111.88819491499999
BE00073,BEN LOMOND LANES LOUNGE,329 WASHINGTON BLVD,WEBER,801-399-4464,Banquet / Event,FALSE,41.25673084300007,-111.96972691899998
RE02317,ALL STAR LANES TOOELE,1111 N 200 W,TOOELE,435-833-0999,Restaurant,TRUE,40.55251747900007,-112.30259256
RE01765,TUCCI'S (TROLLEY CORNERS),515 S 700 E,SALT LAKE,801-533-9111,Restaurant,TRUE,40.757730594000066,-111.87103398199997
CL00582,PUCK A BAR,3396 DECKER LAKE DR,SALT LAKE,801-532-5108,Bar / Club,TRUE,40.69962351200007,-111.94763793599998
CL01287,IGGY'S SPORTS GRILL (SALT LAKE),423 W 300 S,SALT LAKE,801-532-9999,Bar / Club,TRUE,40.762792568000066,-111.90335087699998
CL00519,WORLD FAMOUS WOODY'S TAVERN,221 S MAIN,GRAND,435-259-3550,Bar / Club,TRUE,38.569834882000066,-109.55076913999994
RE02142,BUFFALO WILD WINGS (LOGAN),43 E 1400 N,CACHE,435-792-7989,Restaurant,TRUE,41.757572839000034,-111.83311413699994
RE00949,MOAB BREWERY,686 S MAIN,GRAND,435-259-6333,Restaurant,TRUE,38.56288378100004,-109.54903863199996
RE01870,TEXAS ROADHOUSE (LEHI),1402 E MAIN ST,UTAH,801-768-4474,Restaurant,TRUE,40.388401688000044,-111.82834598899996
RE01830,NAKED FISH,67 W 100 S,SALT LAKE,801-595-8888,Restaurant,TRUE,40.76714358400005,-111.89340092399999
RB00057,CHIPOTLE MEXICAN GRILL (SANDY) #1104,10387 S STATE ST,SALT LAKE,,Restaurant,FALSE,40.562729657000034,-111.89070223099998
RE02162,TWISTED SISTA'S CAFE,11 E 100 NORTH,GRAND,435-210-4725,Restaurant,TRUE,38.574860467000065,-109.55047603199995
RE01544,BURRITO GRANDE,5511 S 3500 W,WEBER,801-776-9022,Restaurant,TRUE,41.16343137200005,-112.06450797299999
RL00610,ASIAN POTATO,8745 S 700 E,SALT LAKE,801-255-1122,Restaurant,TRUE,40.59254062500003,-111.87217474099998
RE02200,TWIGS BISTRO & MARTINI BAR,155 N E PROMONTORY B130,DAVIS,509-466-4800,Restaurant,TRUE,40.986347554000076,-111.89954788699998
RE01807,WINGER'S (MURRAY),4790 S STATE ST,SALT LAKE,801-685-8889,Restaurant,TRUE,40.667270710000025,-111.88834701599995
CL01005,SCOREZ,571 W STATE ST,UTAH,801-768-9034,Bar / Club,TRUE,40.40464724800006,-111.85832892199994
RE01411,CARRABBA'S ITALIAN GRILL,683 E UNIVERSITY PARKWAY,UTAH,801-765-1222,Restaurant,TRUE,40.27324867400006,-111.67910553199994
RE02078,PARKSTONE WOOD KITCHEN,905 W PROMONTORY,DAVIS,,Restaurant,TRUE,40.98365860500007,-111.90746830999996
CL01111,JACKALOPE LOUNGE,372 S STATE ST,SALT LAKE,801-359-8054,Bar / Club,TRUE,40.76104669700004,-111.88826015699999
CL01136,BOURBON HOUSE,19 E 200 S,SALT LAKE,801-550-0707,Bar / Club,TRUE,40.765059902000075,-111.89045958299994
RL00470,MEDITRINA,1394 S W TEMPLE,SALT LAKE,801-485-2055,Restaurant,TRUE,40.739521084000046,-111.89395632399999
RE02247,TOSCANA,307 W PIERPONT AVE,SALT LAKE,801-318-4242,Restaurant,TRUE,40.76381469800003,-111.89997523999995
RB00052,CENTRO UNICO,910 W 1000 N,SALT LAKE,801-355-3041,Restaurant,FALSE,40.791077630000075,-111.91723932999997
CL00762,SPOT,870 S MAIN,SALT LAKE,801-355-7768,Bar / Club,TRUE,40.750442418000034,-111.89107717899998
RL00420,PEI WEI ASIAN DINER (MIDVALE),1148 E FORT UNION BLVD,SALT LAKE,801-601-3170,Restaurant,TRUE,40.62457383000003,-111.86015706899997
BE02579,SNOWBIRD MID GAD,SNOWBIRD ENTRY,SALT LAKE,801-933-2245,Banquet / Event,FALSE,40.55808643200004,-111.82957591799999
PS00035,"EXPRESSJET AIRLINES, INC",776 N TERMINAL DR TERMINAL 2,SALT LAKE,801-231-4930,Liquor Store / Manufacturer,TRUE,40.78350511600007,-111.98068121399996
TV00226,THE BIG Z,1141 W 2150 S,WEBER,801-394-1221,Bar / Club,TRUE,41.228252472000065,-112.00698132999997
RB00200,TAQUERIA LOLITA RESTAURANT,909 S 300 W,SALT LAKE,801-364-4058,Restaurant,FALSE,40.74955798500008,-111.89964310899995
BC00187,NORTH FORK TABLE AND TAVERN CATERING,3900 N WOLF CREEK DR,WEBER,801-745-2054,Other,FALSE,41.32979983700005,-111.82407822099998
RB00174,RIM ROCK PATIO,2523 E HWY 24,WAYNE,435-425-3388,Restaurant,FALSE,38.324480823000044,-111.37157170699999
RL00488,TONY CAPUTO'S,314 W 300 S,SALT LAKE,801-531-8669,Restaurant,TRUE,40.762918167000066,-111.90042062499998
RE00886,OUTBACK STEAKHOUSE (LAYTON) #4511,1664 N 1200 W,DAVIS,801-779-9394,Restaurant,TRUE,41.08379323300005,-111.98488941999994
CL00004,ALTA CLUB,100 E SOUTH TEMPLE,SALT LAKE,801-322-1081,Bar / Club,TRUE,40.76933292000007,-111.88737103299997
RE01720,TEXAS ROADHOUSE (SOUTH OGDEN),3969 WALL AVE,WEBER,801-334-7427,Restaurant,TRUE,41.193191719000026,-111.97956740599994
BC00130,COURTYARD BY MARRIOTT (LAYTON),1803 WOODLAND PARK DR,DAVIS,801-217-2300,Other,FALSE,41.086500390000026,-111.98421952599995
RB00016,WINGER'S (CEDAR CITY) #1022,1555 W REGENCY RD,IRON,435-867-1700,Restaurant,FALSE,37.658304531000056,-113.08182981899995
RL00770,CORTONA,1612 UTE BLVD,SUMMIT,435-608-1373,Restaurant,TRUE,40.72456792300005,-111.54240090299999
PS00020,SOUTHWEST AIRLINES,SLC INT'L AIRPORT,SALT LAKE,801-534-1243,Liquor Store / Manufacturer,TRUE,40.776818354000056,-111.97948729799998
RL00252,THAI SIAM,1435 S STATE ST,SALT LAKE,801-474-3322,Restaurant,TRUE,40.73848057400005,-111.88819491499999
RE01495,RED ROCK BREWING CO,254 S 200 W,SALT LAKE,801-521-7446,Restaurant,TRUE,40.763640647000045,-111.89687735799998
RE02222,ZION CANYON BREWPUB,95 ZION PARK BLVD,WASHINGTON,435-772-0336,Restaurant,TRUE,37.19964536200007,-112.99034160299999
BE02304,WISEGUYS COMEDY (W.V.C.),3500 S 2200 W D1,SALT LAKE,801-463-2909,Banquet / Event,FALSE,40.69618760000003,-111.94845993099995
RL00910,TASTE OF INDIA GRILL,282 S 500 W STE A,DAVIS,801-683-7393,Restaurant,TRUE,40.886191444000076,-111.89225744699996
RE02002,PEPPER'S CANTINA,144 W BRIGHAM RD,WASHINGTON,435-628-4660,Restaurant,TRUE,37.06040071800004,-113.58792734299999
BE00929,PLAZA LANES,420 E TOPAZ BLVD,MILLARD,435-864-4451,Banquet / Event,FALSE,39.355143670000075,-112.56535468299995
BE02569,SKYLINE MT. BASE,3567 NORDIC VALLEY WAY,WEBER,801-745-3511,Banquet / Event,FALSE,41.31084314900005,-111.86387024599998
RE02237,RIB & CHOP HOUSE,1677 S CONVENTION CTR DR,WASHINGTON,435-674-1900,Restaurant,TRUE,37.079211351000026,-113.58313435299999
RE00929,APPLEBEE'S (OREM),290 W UNIVERSITY PKWY,UTAH,801-223-0111,Restaurant,TRUE,40.27367934400007,-111.70212149399998
RE00336,CAFE SILVESTRE (MIDVALE),282 W 7200 S,SALT LAKE,801-565-0947,Restaurant,TRUE,40.620657454000025,-111.89918998799999
CL00525,O'SHUCKS,22 E 100 S,SALT LAKE,801-596-8600,Bar / Club,TRUE,40.76709288400008,-111.89026095599996
