"LICENSE","DBA","LOCATION ADDRESS","COUNTY","PHONE","Location 1"
"RE01663","RED ROBIN (WEST VALLEY) #414","3601 S 2700 W","SALT LAKE","801-964-2354","3601 S 2700 W SALT LAKE CITY UT 84119 (40.694067791000066, -111.95785344899997)"
"RE00100","LITTLE AMERICA RESTAURANT/COFFEE SHOP/PETIT CAFE","500 S MAIN ST","SALT LAKE","801-363-6781","500 S MAIN ST SALT LAKE CITY UT 84101 (40.758061299000076, -111.891247309)"
"CL01181","BONE YARD","1251 KEARNS BLVD","SUMMIT","435-731-0033","1251 KEARNS BLVD PARK CITY UT 84060 (40.66155308800006, -111.50412671099997)"
"RL00081","SUN LOK YUEN","615 N MAIN","TOOELE","435-882-3003","615 N MAIN TOOELE UT 84074 (40.542921066000076, -112.29837612899996)"
"BE01759","CEDAR BOWLING CENTER","421 E HWY 91","IRON","435-586-1383","421 E HWY 91 CEDAR CITY UT 84720 (37.628408611000054, -113.12474335899998)"
"RE01223","JOE'S CRAB SHACK (SANDY)","65 E 9400 S","SALT LAKE","801-255-9571","65 E 9400 S SANDY UT 84070 (40.58061664500008, -111.88894898199999)"
"CL01247","VERTIGO","536 W 100 S","SALT LAKE","801-528-9197","536 W 100 S SALT LAKE CITY UT 84101 (40.76718852300007, -111.90718106199995)"
"RE01965","BUONA VITA CUCINA (P.C.)","804 MAIN ST","SUMMIT","435-649-1336","804 MAIN ST PARK CITY UT 84060 (40.647609325000076, -111.49824431199994)"
"RL00802","BARISTAS RESTAURANT","460 W STATE ST","WASHINGTON","1-435-467-1900","460 W STATE ST HURRICANE UT 84737 (37.17656776800004, -113.29644115499997)"
"RL00785","YI SUSHI BISTRO","6957 S STATE ST","SALT LAKE","801-365-1037","6957 S STATE ST MIDVALE UT 84047 (40.62453603400007, -111.89020449399999)"
"BC00180","HARLEY & BUCK'S CATERING","3900 N WOLFCREEK DR","WEBER","801-745-2060","3900 N WOLFCREEK DR EDEN UT 84310 (41.32979983700005, -111.82407822099998)"
"RE02076","GEORGE'S CORNER RESTAURANT","2 W ST GEORGE BLVD","WASHINGTON","435-216-7311","2 W ST GEORGE BLVD ST GEORGE UT 84770 (37.109978555000055, -113.58360015399995)"
"RL00720","MOAB GRILL","540 S MAIN","GRAND","435-259-4848","540 S MAIN MOAB UT 84532 (38.56535906100004, -109.55022848199997)"
"RL00825","MURDOCKS","4000 CANYONS RESORT DR","SUMMIT","435-649-5400","4000 CANYONS RESORT DR PARK CITY UT 84098 (40.684057186000075, -111.55369225999999)"
"BC00181","THE BISTRO @ COURTYARD OGDEN","247 24TH STREET","WEBER","801-655-1998","247 24TH STREET OGDEN UT 84401 (41.22280305700008, -111.97562083999998)"
"BE02347","VICTORY RANCH CLUB","7474 N VICTORY CLUB DR","SUMMIT","435-785-5020","7474 N VICTORY CLUB DR KAMAS UT 84036 (40.59844521600007, -111.30608457399995)"
"RL00177","TONA","210 25TH STREET","WEBER","801-622-8662","210 25TH STREET OGDEN UT 84401 (41.22075775700006, -111.97558051099998)"
"CL00342","AMERICAN LEGION 134 (CLEARFIELD)","345 S DEPOT ST","DAVIS","801-773-9419","345 S DEPOT ST CLEARFIELD UT 84015 (41.109357997000075, -112.02488241099996)"
"CL00522","A BEUFORD GIFFORD'S LIBATION EMPORIUM","190 W CENTER","UTAH","801-373-1200","190 W CENTER PROVO UT 84601 (40.23383760100006, -111.66195014199997)"
"RB00263","DICKEY'S BARBEQUE PIT","1190 S SAGE DR","IRON","435-865-2716","1190 S SAGE DR CEDAR CITY UT 84720 (37.65610975100003, -113.08311040299998)"
"RL00913","BRODY'S MEXICAN RESTAURANT","1166 SAGE DR #C","IRON","435-531-8773","1166 SAGE DR #C CEDAR CITY UT 84720 (37.65717529500006, -113.08219970199997)"
"BE02571","PARK CITY GOLF COURSE","1541 THAYNES CANYON DR","SUMMIT","435-615-5800","1541 THAYNES CANYON DR PARK CITY UT 84060 (40.66264206500006, -111.51429341799997)"
"RE01707","GARCIA'S (BEST REST.)","1075 N HILLFIELD RD","DAVIS","801-546-6390","1075 N HILLFIELD RD LAYTON UT 84041 (41.075730416000056, -111.97373570699995)"
"RB00059","CHUBBY'S","955 N 1400 W","SALT LAKE","801-596-2070","955 N 1400 W SALT LAKE CITY UT 84116 (40.79057062600003, -111.93111625999995)"
"BC00078","SWITCHBACK GRILLE & TRADING CO.","1149 ZION PARK BLVD","WASHINGTON","435-772-3700","1149 ZION PARK BLVD SPRINGDALE UT 84767 (37.182868445000054, -113.00388025899997)"
"RE01350","CHILI'S (WEST JORDAN) #938","3629 W CTR PARK DR","SALT LAKE","801-282-2322","3629 W CTR PARK DR WEST JORDAN UT 84084 (40.619932669000036, -111.97717065999996)"
"TV00224","SALOON","2912 N HWY 162","WEBER","801-430-7214","2912 N HWY 162 EDEN UT 84310 (41.31127188100004, -111.83481341999999)"
"RB00129","LOS 5 AMIGOS MEXICAN RESTAURANT","590 E 300 N","SEVIER","435-896-4999","590 E 300 N RICHFIELD UT 84701 (38.772244245000024, -112.07431872899997)"
"RL00652","WING WAH RESTAURANT","465 E 12TH ST","WEBER","801-394-8788","465 E 12TH ST OGDEN UT 84404 (41.24427352400005, -111.96847093199995)"
"RE01185","LOCO LIZARD CANTINA","1612 UTE BLVD","SUMMIT","435-645-7000","1612 UTE BLVD PARK CITY UT 84098 (40.72456792300005, -111.54240090299999)"
"CL01091","MIMS BAR & GRILL","4020 W HWY 13","BOX ELDER","435-744-2206","4020 W HWY 13 CORINNE UT 84307 (41.57966127900005, -112.12967400499997)"
"BE02082","HALL OF FAME GRILL","3300 W CLUBHOUSE DR","UTAH","801-768-7409","3300 W CLUBHOUSE DR LEHI UT 84043 (40.430719140000065, -111.89963915299995)"
"RE01633","CHILI'S (HARRISVILLE) #1164","286 E N ST","WEBER","801-782-1300","286 E N ST OGDEN UT 84404 (41.26679616000007, -111.98293886199997)"
"RE01487","OLD SPAGHETTI FACTORY (OREM)","575 E UNIVERSITY PKWY","UTAH","503-225-0433","575 E UNIVERSITY PKWY OREM UT 84097 (40.273557907000054, -111.68164955199995)"
"BE02339","BRYCE CANYON COUNTRY RODEO","115 E 100 N","GARFIELD","435-834-5341","115 E 100 N BRYCE UT 84764 (37.675785577000056, -112.15090611699998)"
"CL00963","KEYS ON MAIN","242 S MAIN ST","SALT LAKE","801-363-3638","242 S MAIN ST SALT LAKE CITY UT 84101 (40.764122299000064, -111.89122386999998)"
"CL01190","ESCALA PROVISIONS CO.","3551 ESCALA CT","SUMMIT","435-658-6100","3551 ESCALA CT PARK CITY UT 84098 (40.68251672700006, -111.55701021999994)"
"RL00907","PIZZA REV (5600 W)","2927 S 5600 W #D E","SALT LAKE","801-532-5108","2927 S 5600 W #D E SALT LAKE CITY UT 84120 (40.707024739000076, -112.02485870499999)"
"RL00767","SKEWERED THAI","575 S 700 E","SALT LAKE","801-824-3467","575 S 700 E SALT LAKE CITY UT 84102 (40.75671899200006, -111.87103109399999)"
"CL00938","GINO'S","3556 S STATE ST","SALT LAKE","801-268-1811","3556 S STATE ST SALT LAKE CITY UT 84115 (40.69378010500003, -111.88831705699994)"
"RL00684","NICK'S GREEK CAFE","1600 SNOW CRK DR","SUMMIT","435-658-2267","1600 SNOW CRK DR PARK CITY UT 84060 (40.66190453400003, -111.51028219999995)"
"RE01804","WILDCAT WILLIES RANCH GRILL & SALOON","897 ZION PARK BLVD","WASHINGTON","435-772-0115","897 ZION PARK BLVD SPRINGDALE UT 84767 (37.18877389000005, -112.99938635999996)"
"RL00567","KATHMANDU","212 S 700 E STE C","SALT LAKE","801-466-3504","212 S 700 E STE C SALT LAKE CITY UT 84102 (40.764623278000045, -111.87110233199996)"
"RB00183","RUBIO'S FRESH MEXICAN GRILL (SUGARHOUSE) #86","1160 E 2100 S","SALT LAKE","801-466-1220","1160 E 2100 S SALT LAKE CITY UT 84106 (40.72537602700004, -111.85788556699998)"
"RE02206","CARLOS AND HARLEY'S","5510 E 2200 N","WEBER","801-745-8226","5510 E 2200 N EDEN UT 84310 (41.29893123800008, -111.81500353599995)"
"RL00847","MEME'S CAFE","975 ZION PARK BLVD","WASHINGTON","435-772-0114","975 ZION PARK BLVD SPRINGDALE UT 84767 (37.18866327100005, -113.00007427199995)"
"BE01999","MT. OGDEN GOLF COURSE","1787 CONSTITUTION WAY","WEBER","801-629-0699","1787 CONSTITUTION WAY OGDEN UT 84403 (41.21059106900003, -111.93738549899996)"
"RE01082","MANDARIN SZECHAUAN RESTAURANT","125 S MAIN","GRAND","435-259-8984","125 S MAIN MOAB UT 84532 (38.57132673800004, -109.55075840199999)"
"CL00922","SUMMIT LOUNGE","918 HERITAGE PARK BLVD","DAVIS","801-452-5887","918 HERITAGE PARK BLVD LAYTON UT 84041 (41.083767581000075, -111.98255872899995)"
"RE01483","PURPLE SAGE","434 MAIN","SUMMIT","435-655-9505","434 MAIN PARK CITY UT 84060 (40.64355675000007, -111.49576114499996)"
"RL00698","BLACK PEARL ASIAN BISTRO & SUSHI BAR","2095 N MAIN BLDG A UNIT C","CACHE","435-750-0888","2095 N MAIN BLDG A UNIT C LOGAN UT 84341 (41.77046742600004, -111.83415130399999)"
"RL00600","TONY CAPUTO'S MARKET & DELI 15TH","1516 S 1500 E","SALT LAKE","801-486-6615","1516 S 1500 E SALT LAKE CITY UT 84105 (40.73672234400004, -111.84798818599995)"
"CL01285","SKYLINE BAR @ YARROW HOTEL","1800 PARK AVE","SUMMIT",,"1800 PARK AVE PARK CITY UT 84060 (40.65967256400006, -111.50865863499996)"
"RB00032","BANDANNAS GRILL @ HOTEL PARK CITY","2001 PARK AVENUE","SUMMIT","435-940-5000","2001 PARK AVENUE PARK CITY UT 84060 (40.66234403900006, -111.512514652)"
"RL00863","TAMARISK RESTAURANT","1710 E MAIN ST","EMERY","435-564-8109","1710 E MAIN ST GREEN RIVER UT 84525 (38.99326334400007, -110.14140712499994)"
"RE02226","PROVISIONS RESTAURANT","3364 S 2300 E","SALT LAKE","801-410-4046","3364 S 2300 E SALT LAKE CITY UT 84109 (40.69845145600004, -111.82454632399998)"
"BE02540","FLAMINGO","1789 W 4160 S","SALT LAKE","801-867-1825","1789 W 4160 S SALT LAKE CITY UT 84129 (40.68067290000005, -111.94072052899998)"
"RB00278","TACOS DE MARCOS","1812 W SUNSET BLVD #5","WASHINGTON","435-215-6499","1812 W SUNSET BLVD #5 ST GEORGE UT 84770 (37.12284839000006, -113.62198035699998)"
"RB00114","LA FOUNTAIN (TOOELE)","1501 N MAIN ST","TOOELE","435-882-3000","1501 N MAIN ST TOOELE UT 84074 (40.558687752000026, -112.29692023799998)"
"CL00619","CHUCKLE'S LOUNGE","221 W 900 SOUTH","SALT LAKE","801-532-1721","221 W 900 SOUTH SALT LAKE CITY UT 84101 (40.74974297600005, -111.89764016899994)"
"BC00068","HILTON SALT LAKE CITY CENTER","255 S W TEMPLE","SALT LAKE","801-238-4800","255 S W TEMPLE SALT LAKE CITY UT 84101 (40.76414073800004, -111.89393442999994)"
"RE01921","RODIZIO GRILL (AMERICAN FORK)","749 W 100 N SP","UTAH","801-706-4698","749 W 100 N SP AMERICAN FORK UT 84003 (40.37862368700007, -111.81935872599996)"
"RL00884","KOI CHINESE & JAPANESE CUISINE, LLC","1266 LEGEND HILLS DR","DAVIS","801-770-3151","1266 LEGEND HILLS DR CLEARFIELD UT 84015 (41.095851561000075, -111.99627664399998)"
"RL00750","BRICK OVEN","1410 E ST GEORGE BLVD","WASHINGTON","435-628-5800","1410 E ST GEORGE BLVD ST GEORGE UT 84790 (37.10974348900004, -113.55426075399998)"
"RE01050","APPLEBEE'S (W VALLEY CENTER)","2175 W CITY CTR CT","SALT LAKE","801-532-5108","2175 W CITY CTR CT SALT LAKE CITY UT 84119 (40.69929377400007, -111.94805710699995)"
"RL00925","LUCKY STAR CHINESE CUISINE","3361 S REDWOOD RD","SALT LAKE","801-972-3032","3361 S REDWOOD RD WEST VALLEY CITY UT 84119 (40.699150891000045, -111.93891490299995)"
"CL01278","SEVEN SUMMITS CLUB","9385 S SNOWBIRD CENTER DR","SALT LAKE","801-933-2490","9385 S SNOWBIRD CENTER DR SNOWBIRD UT 84092 (40.55808643200004, -111.82957591799999)"
"RB00048","CAFE SOLEIL","205 ZION PARK BLVD","WASHINGTON","435-632-4010","205 ZION PARK BLVD SPRINGDALE UT 84767 (37.19788267700005, -112.99154392999998)"
"AL00005","HIGH WEST DISTILLERY AND SALOON - CONCOURSE E1","SLC INTL AIRPORT TERMINAL 2 / E","SALT LAKE","801-575-2611","SLC INTL AIRPORT TERMINAL 2 / E SALT LAKE CITY UT 84122 (40.776818354000056, -111.97948729799998)"
"RE01609","HIDEAWAY @ MINERS CLUB","4070 WILLOW DRAW DR","SUMMIT","435-645-4400","4070 WILLOW DRAW DR PARK CITY UT 84098 (40.690277750000064, -111.55174227299995)"
"RE01649","WINGER'S (RIVERTON)","3816 W 13400 S","SALT LAKE","801-254-8001","3816 W 13400 S RIVERTON UT 84065 (40.507928572000026, -111.98158965999994)"
"RL00862","MANO THAI DINER","41 W 3300 S","SALT LAKE","801-485-1209","41 W 3300 S SALT LAKE CITY UT 84115 (40.69975353400008, -111.89234082499996)"
"BC00044","DIAMOND CONCESSIONS OF UTAH","3200 S DECKER LAKE DR","SALT LAKE","801-988-2009","3200 S DECKER LAKE DR SALT LAKE CITY UT 84119 (40.700663837000036, -111.94844888299997)"
"RE01725","BOSTON'S THE GOURMET PIZZA","694 W ANTELOPE DR","DAVIS","801-779-9088","694 W ANTELOPE DR LAYTON UT 84041 (41.08921127000008, -111.97860617799995)"
"RL00339","SHANGHAI CAFE","145 E 1300 SOUTH","SALT LAKE","801-322-1841","145 E 1300 SOUTH SALT LAKE CITY UT 84115 (40.741648197000075, -111.88716131799998)"
"RL00505","PIZANOS PIZZERIA","259 S HWY 143","IRON","435-590-5884","259 S HWY 143 CEDAR CITY UT 84720 (37.663739228000054, -113.09704878299999)"
"RE00561","RED BUTTE CAFE","1414 FOOTHILL VILLAGE","SALT LAKE","801-581-9499","1414 FOOTHILL VILLAGE SALT LAKE CITY UT 84108 (40.75116875800006, -111.83074435399999)"
"RE02141","BUFFALO WILD WINGS (SANDY)","11282 S STATE ST","SALT LAKE","952-593-9943","11282 S STATE ST SANDY UT 84070 (40.54676406600004, -111.89109369299996)"
"RE02105","LA FOUNTAIN (LEHI)","101 N 1200 E","UTAH","801-766-2619","101 N 1200 E LEHI UT 84043 (40.38908683400007, -111.82686010599997)"
"RL00613","NUCH'S PIZZERIA","2819 S 2300 E","SALT LAKE","801-484-0448","2819 S 2300 E SALT LAKE CITY UT 84109 (40.70998003600005, -111.82442418199997)"
"RE01924","DON PEDRO'S (WASHINGTON CITY)","1004 W RED CLIFFS DR","WASHINGTON","435-251-8094","1004 W RED CLIFFS DR WASHINGTON UT 84780 (37.12648729600005, -113.52633635699999)"
"RB00055","CHIPOTLE MEXICAN GRILL (COTTONWOOD HEIGHTS) #954","6924 S PARK CENTRE DR","SALT LAKE","303-222-2524","6924 S PARK CENTRE DR SALT LAKE CITY UT 84121 (40.624737684000024, -111.85123547499995)"
"BE02552","GIANT STEPS LODGE/NAVAJO LODGE","329 S HWY 145","IRON","435-677-2035","329 S HWY 145 BRIAN HEAD UT 84719 (37.70654622300003, -112.84878820399996)"
"RE01704","CANCUN CAFE #2","1891 E FT UNION BLVD","SALT LAKE","801-942-1333","1891 E FT UNION BLVD SALT LAKE CITY UT 84121 (40.62460747600005, -111.83792777299999)"
"CL00968","TWILITE LOUNGE","347 E 200 S","SALT LAKE","801-532-9400","347 E 200 S SALT LAKE CITY UT 84111 (40.76504758300007, -111.88082031099998)"
"RL00812","NOODLES & CO. (LOGAN)","1430 N MAIN ST","CACHE","435-753-2629","1430 N MAIN ST LOGAN UT 84321 (41.75817898500003, -111.83433199299998)"
"RE01410","MIGUEL'S BAJA GRILL","51 N MAIN","GRAND","435-259-6546","51 N MAIN MOAB UT 84532 (38.57406504000005, -109.55080693599996)"
"RE02196","BILLY BLANCO'S","8208 GORGOZA PINES RD","SUMMIT","435-647-2908","8208 GORGOZA PINES RD PARK CITY UT 84098 (40.750255742000036, -111.57171379999994)"
"CL00977","POPLAR STREET PUB","242 S 200 W","SALT LAKE","801-532-2715","242 S 200 W SALT LAKE CITY UT 84101 (40.76382040300007, -111.89687735799998)"
"RL00629","NINJA JAPANESE STEAKHOUSE","1180 S SAGE DR","IRON","435-867-5577","1180 S SAGE DR CEDAR CITY UT 84720 (37.65615808600006, -113.08296676899994)"
"RL00524","TOKAI SUSHI RESTAURANT","1301 E MILLER AVE","SALT LAKE","801-466-3311","1301 E MILLER AVE SALT LAKE CITY UT 84106 (40.70297761900008, -111.85410004799996)"
"BE00988","SUNDANCE RESORT / CREEKSIDE CAFE / GROCERY DELI","8841 N ALPINE LOOP RD","UTAH","801-223-4107","8841 N ALPINE LOOP RD PROVO UT 84604 (40.39152257000006, -111.57748484999996)"
"RE01806","5TH AVENUE RESTAURANT","C/O 150 W 500 SOUTH","SALT LAKE","801-401-2000","C/O 150 W 500 SOUTH SALT LAKE CITY UT 84101 (40.75850838400004, -111.89506020999994)"
"CL00859","ALL-STAR CATERING-EXECUTIVES CLUB @ ENERGY SOLUTIONS ARENA","301 W S TEMPLE","SALT LAKE","801-325-2000","301 W S TEMPLE SALT LAKE CITY UT 84101 (40.769232671000054, -111.89993090499996)"
"RL00099","LA FERROVIA RISTORANTE","232 25TH ST","WEBER","801-394-8628","232 25TH ST OGDEN UT 84401 (41.220748539000056, -111.97499976099999)"
"RE01819","RIVER GRILL","MILE 17 HWY 128","GRAND","435-259-4642","MILE 17 HWY 128 MOAB UT 84532 (38.602899441000034, -109.57422435299998)"
"CL01257","CLUB RIO","2 S 100 WEST","GRAND","435-259-2654","2 S 100 WEST MOAB UT 84532 (38.57332115000003, -109.55273515199997)"
"RB00259","WINGER'S ROADHOUSE GRILL (VERNAL)","1797 W 1000 S","UINTAH","435-781-1923","1797 W 1000 S VERNAL UT 84078 (40.440256213000055, -109.56233365999998)"
"RE02209","THE FARM @ GRAND SUMMIT HOTEL  /RED TAIL GRILL/THE CABIN","4000 CANYONS RESORT DR","SUMMIT","435-615-8060","4000 CANYONS RESORT DR PARK CITY UT 84098 (40.684057186000075, -111.55369225999999)"
"RL00929","SUEHIRO","6933 S 1300 EAST","SALT LAKE","801-255-1089","6933 S 1300 EAST MIDVALE UT 84047 (40.62569358500008, -111.85484674599996)"
"RE01309","ROCKING V CAFE","97 W. CENTER","KANE","435-644-8001","97 W. CENTER KANAB UT 84741 (37.048103326000046, -112.53049062599996)"
"RL00478","WATER MOON","129 E 13800 S","SALT LAKE","801-619-3889","129 E 13800 S DRAPER UT 84020 (40.50071875200007, -111.88783283699996)"
"RE01259","PORCUPINE PUB & GRILLE","3698 E 7000 S","SALT LAKE","801-942-5555","3698 E 7000 S SALT LAKE CITY UT 84121 (40.61928744100004, -111.79084762999997)"
"CL00934","NEW CASSIDY'S CLUB","1350 E MAIN","UINTAH","435-789-8700","1350 E MAIN VERNAL UT 84078 (40.45599292600008, -109.50404087499999)"
"RE00797","OLIVE GARDEN (SUGARHOUSE) #1306","2272 S 1300 E","SALT LAKE","801-455-4238","2272 S 1300 E SALT LAKE CITY UT 84106 (40.721430260000034, -111.85368637899995)"
"TV00194","SHOOTING STAR SALOON","7350 E 200 S","WEBER","801-205-9808","7350 E 200 S HUNTSVILLE UT 84317 (41.26069991400004, -111.77125244699994)"
"CL00808","CEDAR BREAKS BAR & GRILL","223 HUNTER RIDGE RD","IRON","435-677-3000","223 HUNTER RIDGE RD BRIAN HEAD UT 84719 (37.705469840000035, -112.85025457599994)"
"RE02018","BRIO TUSCAN GRILLE","6173 S STATE ST","SALT LAKE","801-262-6500","6173 S STATE ST SALT LAKE CITY UT 84107 (40.63643990500003, -111.88920500599994)"
"RE01347","CHILI'S SOUTHWEST GRILL (LOGAN)","1427 N MAIN BLDG C","CACHE","435-752-2909","1427 N MAIN BLDG C LOGAN UT 84341 (41.758119846000056, -111.83440533499999)"
"RB00017","WINGER'S (CLEARFIELD)","743 N MAIN ST","DAVIS","801-419-9226","743 N MAIN ST CLEARFIELD UT 84015 (41.12462573500005, -112.02607502799998)"
"RL00369","PEACE TREE JUICE CAFE","516 N MAIN","SAN JUAN","435-587-5063","516 N MAIN MONTICELLO UT 84535 (37.87871069200003, -109.34287582699994)"
"CL00694","TAP ROOM","2021 WINDSOR","SALT LAKE","801-484-6692","2021 WINDSOR SALT LAKE CITY UT 84105 (40.73719624900008, -111.86156819399997)"
"RE01844","ROMANO'S MACARONI GRILL (MURRAY)","102 E WINCHE","SALT LAKE","801-293-3331","102 E WINCHE SALT LAKE CITY UT 84107 (40.661658328000044, -111.88116851399997)"
"RE02176","SPICE BISTRO","6121 S HIGHLAND DR","SALT LAKE","801-930-9855","6121 S HIGHLAND DR SALT LAKE CITY UT 84121 (40.64001233100004, -111.83493414499998)"
"RE02281","HARLEY & BUCK'S GRILL","3900 N WOLF CREEK DR","WEBER","801-745-2060","3900 N WOLF CREEK DR EDEN UT 84310 (41.32979983700005, -111.82407822099998)"
"TV00220","LAS ROCAS","3050 S SCOTT LANE","WEBER","801-725-5982","3050 S SCOTT LANE OGDEN UT 84401 (41.210259317000066, -112.02863386999996)"
"CL00291","UNCLE BART'S","837 S MAIN","SALT LAKE","801-532-9068","837 S MAIN SALT LAKE CITY UT 84111 (40.75113608600003, -111.89100876999998)"
"RE00161","GLITRETIND & SPA CAFE @ STEIN ERIKSEN, PARK CITY","7700","SUMMIT","435-645-6455","7700 PARK CITY UT 84060 (40.66082843200007, -111.49822579899995)"
"RL00158","ARCHIBALD'S","1095 W 7800 S","SALT LAKE","801-566-6940","1095 W 7800 S WEST JORDAN UT 84088 (40.60889380900005, -111.92421524399998)"
"BC00087","SHERATON CITY CENTRE","C/O 150 W 500 SOUTH","SALT LAKE","801-401-2000","C/O 150 W 500 SOUTH SALT LAKE CITY UT 84101 (40.75850838400004, -111.89506020999994)"
"CL00073","FIFTH","980 N 500 W","DAVIS","801-295-9983","980 N 500 W BOUNTIFUL UT 84010 (40.89865926900006, -111.89212419599994)"
"CL00876","REPUBLICAN","917 S STATE ST","SALT LAKE","801-455-9543","917 S STATE ST SALT LAKE CITY UT 84111 (40.749270541000044, -111.88819491499999)"
"BE00073","BEN LOMOND LANES LOUNGE","329 WASHINGTON BLVD","WEBER","801-399-4464","329 WASHINGTON BLVD OGDEN UT 84404 (41.25673084300007, -111.96972691899998)"
"RE02317","ALL STAR LANES TOOELE","1111 N 200 W","TOOELE","435-833-0999","1111 N 200 W TOOELE UT 84074 (40.55251747900007, -112.30259256)"
"RE01765","TUCCI'S (TROLLEY CORNERS)","515 S 700 E","SALT LAKE","801-533-9111","515 S 700 E SALT LAKE CITY UT 84102 (40.757730594000066, -111.87103398199997)"
"CL00582","PUCK A BAR","3396 DECKER LAKE DR","SALT LAKE","801-532-5108","3396 DECKER LAKE DR SALT LAKE CITY UT 84119 (40.69962351200007, -111.94763793599998)"
"CL01287","IGGY'S SPORTS GRILL (SALT LAKE)","423 W 300 S","SALT LAKE","801-532-9999","423 W 300 S SALT LAKE CITY UT 84101 (40.762792568000066, -111.90335087699998)"
"CL00519","WORLD FAMOUS WOODY'S TAVERN","221 S MAIN","GRAND","435-259-3550","221 S MAIN MOAB UT 84532 (38.569834882000066, -109.55076913999994)"
"RE02142","BUFFALO WILD WINGS (LOGAN)","43 E 1400 N","CACHE","435-792-7989","43 E 1400 N LOGAN UT 84341 (41.757572839000034, -111.83311413699994)"
"RE00949","MOAB BREWERY","686 S MAIN","GRAND","435-259-6333","686 S MAIN MOAB UT 84532 (38.56288378100004, -109.54903863199996)"
"RE01870","TEXAS ROADHOUSE (LEHI)","1402 E MAIN ST","UTAH","801-768-4474","1402 E MAIN ST LEHI UT 84043 (40.388401688000044, -111.82834598899996)"
"RE01830","NAKED FISH","67 W 100 S","SALT LAKE","801-595-8888","67 W 100 S SALT LAKE CITY UT 84101 (40.76714358400005, -111.89340092399999)"
"RB00057","CHIPOTLE MEXICAN GRILL (SANDY) #1104","10387 S STATE ST","SALT LAKE",,"10387 S STATE ST SANDY UT 84070 (40.562729657000034, -111.89070223099998)"
"RE02162","TWISTED SISTA'S CAFE","11 E 100 NORTH","GRAND","435-210-4725","11 E 100 NORTH MOAB UT 84532 (38.574860467000065, -109.55047603199995)"
"RE01544","BURRITO GRANDE","5511 S 3500 W","WEBER","801-776-9022","5511 S 3500 W ROY UT 84067 (41.16343137200005, -112.06450797299999)"
"RL00610","ASIAN POTATO","8745 S 700 E","SALT LAKE","801-255-1122","8745 S 700 E SANDY UT 84070 (40.59254062500003, -111.87217474099998)"
"RE02200","TWIGS BISTRO & MARTINI BAR","155 N E PROMONTORY B130","DAVIS","509-466-4800","155 N E PROMONTORY B130 FARMINGTON UT 84025 (40.986347554000076, -111.89954788699998)"
"RE01807","WINGER'S (MURRAY)","4790 S STATE ST","SALT LAKE","801-685-8889","4790 S STATE ST SALT LAKE CITY UT 84107 (40.667270710000025, -111.88834701599995)"
"CL01005","SCOREZ","571 W STATE ST","UTAH","801-768-9034","571 W STATE ST LEHI UT 84043 (40.40464724800006, -111.85832892199994)"
"RE01411","CARRABBA'S ITALIAN GRILL","683 E UNIVERSITY PARKWAY","UTAH","801-765-1222","683 E UNIVERSITY PARKWAY OREM UT 84097 (40.27324867400006, -111.67910553199994)"
"RE02078","PARKSTONE WOOD KITCHEN","905 W PROMONTORY","DAVIS",,"905 W PROMONTORY FARMINGTON UT 84025 (40.98365860500007, -111.90746830999996)"
